First Word,Second Word,First Word Score,Second Word Score,Combined Score
cores,laity,117.87850755473328,75.45328399629972,193.331791551033
tares,doily,122.68732654949122,70.32839962997224,193.01572617946346
tores,daily,119.00709219858156,74.0086339808819,193.01572617946346
pores,laity,117.37897008942338,75.45328399629972,192.8322540857231
bores,laity,117.16003700277521,75.45328399629972,192.61332099907492
dores,laity,116.7067530064755,75.45328399629972,192.1600370027752
cares,doily,121.55874190564292,70.32839962997224,191.88714153561517
tones,parly,115.34381745297564,76.42923219241443,191.77304964539007
tales,corny,118.77582485353068,72.73358001850139,191.50940487203206
toles,carny,115.09559050262104,76.41381436941103,191.50940487203206
canes,porty,117.895467160037,73.61085414739438,191.5063213074314
cones,party,114.21523280912736,77.29108849830403,191.5063213074314
mores,laity,116.03299414122726,75.45328399629972,191.486278137527
lores,canty,117.28954671600371,74.12735121800802,191.41689793401173
pares,doily,121.05920444033302,70.32839962997224,191.38760407030526
coles,party,113.96700585877274,77.29108849830403,191.25809435707677
bares,doily,120.84027135368487,70.32839962997224,191.1686709836571
lares,ponty,120.96978106691336,69.94757940178846,190.91736046870182
lanes,porty,117.30650632130742,73.61085414739438,190.91736046870182
bones,party,113.4967622571693,77.29108849830403,190.78785075547333
panes,borty,117.3959296947271,73.39192106074621,190.7878507554733
banes,porty,117.17699660807894,73.61085414739438,190.7878507554733
rones,laity,115.23280912735122,75.45328399629972,190.68609312365095
gores,laity,115.09713228492137,75.45328399629972,190.5504162812211
pales,borty,117.1477027443725,73.39192106074621,190.5396238051187
bales,porty,116.92876965772433,73.61085414739438,190.5396238051187
boles,party,113.24853530681467,77.29108849830403,190.5396238051187
dares,ponty,120.38698735738515,69.94757940178846,190.3345667591736
dales,porty,116.4754856614246,73.61085414739438,190.086339808819
doles,party,112.79525131051494,77.29108849830403,190.086339808819
mares,doily,119.71322849213692,70.32839962997224,190.04162812210916
poles,carny,113.46746839346284,76.41381436941103,189.88128276287387
manes,porty,116.04995374653099,73.61085414739438,189.66080789392538
fores,laity,113.9731729879741,75.45328399629972,189.4264569842738
males,porty,115.80172679617638,73.61085414739438,189.41258094357076
moles,party,112.12149244526672,77.29108849830403,189.41258094357076
pones,laity,113.71569534381746,75.45328399629972,189.16897934011718
roles,canty,114.98458217699661,74.12735121800802,189.11193339500463
gares,doily,118.77736663583102,70.32839962997224,189.10576626580325
tires,coaly,112.46376811594203,76.36601911810052,188.82978723404256
nares,doily,118.38112858464386,70.32839962997224,188.7095282146161
rales,ponty,118.66481652790625,69.94757940178846,188.6123959296947
cotes,parly,112.0613629355535,76.42923219241443,188.49059512796794
gales,porty,114.86586493987049,73.61085414739438,188.47671908726488
goles,party,111.18563058896083,77.29108849830403,188.47671908726488
kaies,porty,114.79494295405487,73.61085414739438,188.40579710144925
kores,laity,112.86308973172987,75.45328399629972,188.3163737280296
cates,roily,115.74159728646315,72.5177304964539,188.25932778291704
hares,doily,117.80758556891767,70.32839962997224,188.1359851988899
noles,party,110.78939253777367,77.29108849830403,188.08048103607769
